Country (code),Country,Year,Sex,Youth unemployed ('000),Youth labour force ('000),Youth unemployment rate (%),Adult unemployed ('000),Adult labour force ('000),Ratio of youth unemployment rate to adult unemployment rate,Total unemployed ('000),Share of youth unemployed in total unemployed (%),Youth population ('000),Share of youth unemployed in youth population (%),Adult unemployment rate (%),Repository (code),Type of source (code),Coverage (code),Age,Notes
CN,China,1983,M,  883.0,,,,,,,,,,,LABORSTA,OE,T,Youth: 15-24,"Reference period: December
Geographic limitation: Urban areas"
CN,China,1984,M,  752.0,,,,,,,,,,,LABORSTA,OE,T,Youth: 15-24,"Reference period: December
Geographic limitation: Urban areas"
CN,China,1985,M,  783.0,,,,,,,,,,,LABORSTA,OE,T,Youth: 15-24,"Reference period: December
Geographic limitation: Urban areas"
CN,China,1986,M,  805.0,,,,,,,,,,,LABORSTA,OE,T,Youth: 15-24,"Reference period: December
Geographic limitation: Urban areas"
CN,China,1987,M,  953.0,,,,,,,,,,,LABORSTA,OE,T,Youth: 15-24,"Reference period: December
Geographic limitation: Urban areas"
CN,China,1988,M, 1 001.0,,,,,,,,,,,LABORSTA,OE,T,Youth: 15-24,"Reference period: December
Geographic limitation: Urban areas"
CN,China,1989,M, 1 157.0,,,,,,,,,,,LABORSTA,OE,T,Youth: 15-24,"Reference period: December
Geographic limitation: Urban areas"
CN,China,1990,M, 1 313.0,,,,,,,,,,,LABORSTA,OE,T,Youth: 15-24,"Reference period: December
Geographic limitation: Urban areas"
CN,China,1991,M, 1 207.0,,,,,,,,,,,LABORSTA,OE,T,Youth: 15-24,"Reference period: December
Geographic limitation: Urban areas"
CN,China,1992,M, 1 298.0,,,,,,,,,,,LABORSTA,OE,T,Youth: 15-24,"Reference period: December
Geographic limitation: Urban areas"
CN,China,1993,M, 1 394.0,,,,,,,,,,,LABORSTA,OE,T,Youth: 15-24,"Reference period: December
Geographic limitation: Urban areas"
CN,China,1994,M, 1 258.0,,,,,,,,,,,LABORSTA,OE,T,Youth: 15-24,"Reference period: December
Geographic limitation: Urban areas"
CO,Colombia,1980,M,  127.2,,,  34.6,,,  161.8,78.6,,,,LABORSTA,HS,C,Youth: 12-29; Adult: 30+,"Reference period: September
Geographic limitation: Seven main cities"
CO,Colombia,1986,M,  155.4,,,  65.6,,,  221.1,70.3,,,,LABORSTA,HS,C,Youth: 12-29; Adult: 30+,"Reference period: September
Geographic limitation: Seven main cities"
CO,Colombia,1987,M,  132.2,,,  58.5,,,  190.8,69.3,,,,LABORSTA,HS,C,Youth: 12-29; Adult: 30+,"Reference period: September
Geographic limitation: Seven main cities"
CO,Colombia,1988,M,  122.1,,,  53.4,,,  175.5,69.6,,,,LABORSTA,HS,C,Youth: 12-29; Adult: 30+,"Reference period: September
Geographic limitation: Seven main cities"
CO,Colombia,1989 b,M,  104.1,,,  53.0,,,  157.2,66.2,,,,LABORSTA,HS,C,Youth: 15-29; Adult: 30+,"Reference period: September
Geographic limitation: Seven main cities"
CO,Colombia,1990,M,  151.3,,,  79.2,,,  230.6,65.6,,,,LABORSTA,HS,C,Youth: 15-29; Adult: 30+,"Reference period: September
Geographic limitation: Seven main cities"
CO,Colombia,1991 b,M,  179.13, 1 168.94,15.3,  163.85, 3 931.42,3.7,  342.98,52.2, 1 869.14,9.6,4.2,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: September
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources."
CO,Colombia,1992,M,  170.24, 1 148.77,14.8,  164.73, 4 066.13,3.7,  334.97,50.8, 1 900.37,9.0,4.1,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: September
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources."
CO,Colombia,1993,M,  164.08, 1 175.56,14.0,  164.25, 4 265.55,3.6,  328.33,50.0, 1 928.37,8.5,3.9,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: September
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources."
CO,Colombia,1994,M,  137.06, 1 151.96,11.9,  160.36, 4 377.04,3.2,  297.43,46.1, 1 966.55,7.0,3.7,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: September
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources."
CO,Colombia,1995,M,  187.55, 1 200.23,15.6,  210.22, 4 482.28,3.3,  397.78,47.1, 2 036.74,9.2,4.7,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: September
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources."
CO,Colombia,1996,M,  242.72, 1 199.25,20.2,  305.0, 4 600.39,3.1,  547.73,44.3, 2 080.16,11.7,6.6,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: September
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources."
CO,Colombia,1997,M,  252.72, 1 222.56,20.7,  324.52, 4 756.34,3.0,  577.25,43.8, 2 205.72,11.5,6.8,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: September
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources."
CO,Colombia,1998,M,  334.35, 1 286.35,26.0,  433.19, 4 877.82,2.9,  767.55,43.6, 2 248.33,14.9,8.9,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: September
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources."
CO,Colombia,1999,M,  441.58, 1 381.59,32.0,  587.92, 4 985.25,2.7, 1 029.51,42.9, 2 349.03,18.8,11.8,SIAL,HS,T,Youth: 15-24; Adult: 25+,"Reference period: September
Geographic limitation: Urban areas
Survey limitation: Data are derived from micro-sources."
CO,Colombia,2001 b,M,  525.4,,,  730.4,,, 1 255.7,41.8,,,,LABORSTA,HS,C,Youth: 12-24; Adult: 25+,Reference period: Third quarter
CO,Colombia,2002,M,  548.6,,,  791.3,,, 1 340.0,40.9,,,,LABORSTA,HS,C,Youth: 12-24; Adult: 25+,Reference period: Third quarter
CO,Colombia,2003,M,  523.9, 2 807.3,18.7,  739.0, 8 871.9,2.2, 1 262.9,41.5, 5 264.2,10.0,8.3,LABORSTA,HS,C,Youth: 12-24; Adult: 25+,Reference period: Third quarter
CO,Colombia,2004,M,  500.3, 2 724.973,20.2,  631.4, 8 954.189,2.9, 1 131.7,44.2, 5 486.1,9.1,7.1,LABORSTA,HS,C,Youth: 12-24; Adult: 25+,Reference period: Third quarter
CO,Colombia,2005,M,  460.7, 2 572.279,17.7,  558.2, 9 299.197,2.9, 1 018.9,45.2, 5 150.4,8.9,6.0,LABORSTA,HS,C,Youth: 12-24; Adult: 25+,Reference period: Third quarter
CO,Colombia,2006,M,  457.1, 2 363.3,19.5,  636.6, 9 107.9,2.8, 1 093.7,41.8, 5 226.6,8.7,7.0,LABORSTA,HS,C,Youth: 12-24; Adult: 25+,Reference period: Third quarter
CO,Colombia,2007,M,  375.4, 2 276.5,16.3,  620.8, 9 463.8,2.5,  996.2,37.7, 5 260.7,7.1,6.6,LABORSTA,HS,C,Youth: 12-24; Adult: 25+,Reference period: Third quarter
CO,Colombia,2008,M,  425.2, 2 336.2,18.2,  607.6, 9 302.899,2.8, 1 032.8,41.2, 5 381.1,7.9,6.5,LABORSTA,HS,C,Youth: 12-24; Adult: 25+,Reference period: Third quarter
CK,Cook Islands,1991,M,  0.165,  1.3,12.7,  0.112,  3.2,3.6,  0.277,59.6,  2.0,8.3,3.5,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: December
CR,Costa Rica,1980,M,  21.2,  295.59,7.2,  9.46,,,  30.667,69.1,  342.79,6.2,,NSO,HS,T,Youth: 15-29; Adult: 30+,Reference period: July
CR,Costa Rica,1981,M,  31.8,  274.24,11.6,  15.98,,,  47.78,66.6,  351.43,9.0,,NSO,HS,T,Youth: 15-29; Adult: 30+,Reference period: July
CR,Costa Rica,1982 b,M,  39.0,  312.1,12.5,  14.5,  304.1,2.6,  53.3,73.2,  441.5,8.8,4.8,LABORSTA,HS,T,Youth: 12-29; Adult: 30+,Reference period: July
CR,Costa Rica,1983,M,  40.0,  314.4,12.7,  15.5,  312.9,2.6,  55.3,72.3,  447.8,8.9,5.0,LABORSTA,HS,T,Youth: 12-29; Adult: 30+,Reference period: July
CR,Costa Rica,1984,M,  22.4,  294.8,7.6,  9.6,  325.6,2.6,  32.2,69.6,  440.6,5.1,2.9,LABORSTA,HS,T,Youth: 12-29; Adult: 30+,Reference period: November
CR,Costa Rica,1985 b,M,  27.5,  297.5,9.2,  13.0,  342.9,2.4,  40.5,67.9,  376.4,7.3,3.8,LABORSTA,HS,T,Youth: 15-29; Adult: 30+,Reference period: July
CR,Costa Rica,1986,M,  27.6,  308.7,8.9,  11.5,  348.7,2.7,  39.0,70.8,  397.8,6.9,3.3,LABORSTA,HS,T,Youth: 15-29; Adult: 30+,Reference period: July
CR,Costa Rica,1987 b,M,  18.2,  217.6,8.4,  12.4,  470.9,3.2,  30.6,59.5,  282.4,6.4,2.6,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: July
Survey limitation: Methodology revised; data not strictly comparable."
CR,Costa Rica,1988,M,  15.4,  207.6,7.4,  14.3,  493.6,2.6,  29.7,51.9,  276.7,5.6,2.9,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,1989,M,  13.0,  206.7,6.3,  9.3,  507.7,3.4,  22.3,58.3,  278.7,4.7,1.8,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,1990,M,  16.1,  211.7,7.6,  13.5,  531.1,3.0,  29.6,54.4,  285.4,5.6,2.5,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,1991,M,  19.2,  198.2,9.7,  14.4,  530.0,3.6,  33.6,57.1,  278.4,6.9,2.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,1992,M,  13.0,  193.5,6.7,  12.1,  552.2,3.1,  25.1,51.8,  275.7,4.7,2.2,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,1993,M,  15.1,  204.9,7.4,  12.4,  579.9,3.4,  27.5,54.9,  286.6,5.3,2.1,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,1994,M,  13.4,  204.7,6.5,  13.6,  604.5,2.9,  27.0,49.6,  291.9,4.6,2.2,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,1995,M,  22.0,  215.5,10.2,  15.3,  618.5,4.1,  37.3,59.0,  300.7,7.3,2.5,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,1996,M,  20.1,  203.6,9.9,  22.8,  631.5,2.7,  42.9,46.9,  300.7,6.7,3.6,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,1997,M,  20.7,  215.9,9.6,  21.3,  657.9,3.0,  42.0,49.3,  313.9,6.6,3.2,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,1998,M,  19.9,  222.8,8.9,  17.9,  683.8,3.4,  37.8,52.6,  315.9,6.3,2.6,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,1999,M,  23.3,  213.8,10.9,  20.0,  690.8,3.8,  43.3,53.8,  313.0,7.4,2.9,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,2000,M,  20.8,  228.0,9.1,  19.3,  699.9,3.3,  40.1,51.9,  342.5,6.1,2.8,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,2001,M,  31.0,  261.3,11.9,  23.6,  790.6,4.0,  54.6,56.8,  403.1,7.7,3.0,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,2002 b,M,  33.342,  276.532,12.1,  27.928,  817.912,3.5,  61.621,54.1,  548.939,6.1,3.4,NSO,HS,C,Youth: 12-24; Adult: 25+,"Reference period: July
Remark: The criteria of availability for work is not verified."
CR,Costa Rica,2003 b,M,  35.3,  274.2,12.9,  29.3,  848.9,3.7,  64.6,54.6,  421.1,8.4,3.5,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,2004,M,  32.1,  264.2,12.1,  30.0,  881.9,3.6,  62.1,51.7,  425.7,7.5,3.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,2005,M,  30.0,  265.6,11.3,  29.5,  936.3,3.6,  59.5,50.4,  434.7,6.9,3.2,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,2006,M,  28.8,  271.6,10.6,  23.6,  941.2,4.2,  52.4,55.0,  441.6,6.5,2.5,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
CR,Costa Rica,2007,M,  23.7,  288.3,8.2,  16.4,  964.1,4.8,  40.1,59.1,  451.5,5.2,1.7,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,
CR,Costa Rica,2008,M,  26.7,  278.4,9.6,  26.1,  994.8,3.7,  52.8,50.6,  465.4,5.7,2.6,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Reference period: July
HR,Croatia,1991,M,  63.393,  152.6,41.5,  65.628, 1 007.3,6.4,  129.021,49.1,  309.4,20.5,6.5,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: March
HR,Croatia,1996 b,M,  30.7,,,  55.6,,,  86.3,35.6,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: November
Coverage limitation: Excluding conscripts"
HR,Croatia,1997,M,  36.3,,,  52.8,,,  89.1,40.7,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,"Reference period: June
Coverage limitation: Excluding conscripts"
HR,Croatia,1998,M,  39.2,  127.1,30.8,  59.5,  804.4,4.2,  98.7,39.7,  311.8,12.6,7.4,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Coverage limitation: Excluding conscripts
HR,Croatia,1999,M,  41.6,,,  73.1,,,  114.7,36.3,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Coverage limitation: Excluding conscripts
HR,Croatia,2000,M,  46.3,,,  102.1,,,  148.4,31.2,,,,LABORSTA,HS,T,Youth: 15-24; Adult: 25+,Coverage limitation: Excluding conscripts
HR,Croatia,2001 b,M,  64.463,  138.245,46.6,  149.074,  943.086,2.9,  213.537,30.2,  308.415,20.9,15.8,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: March
HR,Croatia,2002 b,M,  43.7,  127.3,34.3,  84.8,  846.9,3.4,  128.5,34.0,  282.5,15.5,10.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
HR,Croatia,2003,M,  41.2,  121.8,33.8,  81.7,  859.3,3.6,  122.9,33.5,  283.1,14.6,9.5,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
HR,Croatia,2004,M,  36.5,  123.9,29.5,  87.2,  878.7,3.0,  123.7,29.5,  274.4,13.3,9.9,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
HR,Croatia,2005,M,  36.1,  119.5,30.2,  77.2,  860.8,3.4,  113.3,31.9,  277.8,13.0,9.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
HR,Croatia,2006,M,  29.7,  109.1,27.2,  64.8,  853.4,3.6,  94.5,31.4,  273.3,10.9,7.6,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
HR,Croatia,2007,M,  22.7,  108.4,20.9,  58.7,  870.2,3.1,  81.4,27.9,  271.7,8.4,6.7,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
HR,Croatia,2008,M,  20.3,  109.7,18.5,  47.5,  863.2,3.4,  67.8,29.9,  269.3,7.5,5.5,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
HR,Croatia,2009,M,  25.7,  111.9,23.0,  49.9,  832.7,3.8,  75.6,34.0,  276.3,9.3,6.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
HR,Croatia,2010,M,  36.1,  120.2,30.0,  70.5,  816.1,3.5,  106.6,33.9,  275.4,13.1,8.6,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CU,Cuba,1995,M,  90.1,,,  65.0,,,  155.2,58.1,,,,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,1996,M,  78.7,,,  60.8,,,  139.5,56.4,,,,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,1997,M,  81.4,,,  55.0,,,  136.4,59.7,,,,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,1998,M,  75.7,,,  52.3,,,  128.1,59.1,,,,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,1999,M,  84.1,,,  42.0,,,  126.1,66.7,,,,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,2000,M,  65.7,,,  46.1,,,  111.7,58.8,,,,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,2001,M,  49.6,,,  44.2,,,  93.8,52.9,,,,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,2002,M,  36.7,,,  40.2,,,  76.9,47.7,,,,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,2003,M,  27.2,,,  24.1,,,  51.2,53.1,,,,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,2004,M,  22.2,  626.022,3.5,  27.4, 2 233.253,2.9,  49.6,44.8, 1 187.48,1.9,1.2,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,2005,M,  22.6,,,  32.4,,,  55.0,41.1,,,,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,2006,M,  20.4,  610.0,3.3,  32.2, 2 283.0,2.4,  52.6,38.8, 1 188.0,1.7,1.4,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,2007,M,  23.4,  622.011,3.8,  29.9, 2 304.491,2.9,  53.3,43.9, 1 179.882,2.0,1.3,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: December
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CU,Cuba,2008,M,  18.0,  639.5,2.8,  24.0, 2 320.5,2.7,  42.0,42.9, 1 184.0,1.5,1.0,LABORSTA,HS,T,Youth: 17-29; Adult: 30-59,"Reference period: February to April
Remark: Data for males refers to ages 17-60 and data for females to ages 17-55."
CY,Cyprus,1999,M,,  15.7,,,  150.4,,,,  39.6,,,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CY,Cyprus,2000,M,  1.1,  17.0,6.5,  4.6,  160.4,2.3,  5.7,19.3,  40.1,2.7,2.9,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CY,Cyprus,2001,M,  1.0,  17.4,5.7,  3.7,  163.5,2.5,  4.7,21.3,  40.5,2.5,2.3,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CY,Cyprus,2002,M,  1.3,  16.5,7.9,  3.4,  165.0,3.8,  4.7,27.7,  40.3,3.2,2.1,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CY,Cyprus,2003,M,  1.5,  17.2,8.7,  5.6,  171.6,2.7,  7.1,21.1,  40.5,3.7,3.3,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CY,Cyprus,2004,M,  1.5,  18.5,8.1,  5.3,  177.5,2.7,  6.8,22.1,  42.3,3.5,3.0,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CY,Cyprus,2005,M,  2.7,  20.5,13.2,  6.3,  185.9,3.9,  9.0,30.0,  44.0,6.1,3.4,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CY,Cyprus,2006,M,  1.8,  20.2,8.9,  6.2,  188.2,2.7,  8.0,22.5,  45.0,4.0,3.3,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CY,Cyprus,2007,M,  2.1,  19.2,10.9,  5.2,  197.6,4.2,  7.3,28.8,  43.7,4.8,2.6,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CY,Cyprus,2008,M,  1.6,  18.7,8.6,  5.3,  200.5,3.2,  6.9,23.2,  43.3,3.7,2.6,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CY,Cyprus,2009,M,  2.5,  18.1,13.8,  9.0,  203.6,3.1,  11.5,21.7,  42.9,5.8,4.4,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CY,Cyprus,2010,M,  2.8,  17.4,16.1,  10.6,  206.7,3.1,  13.4,20.9,  43.2,6.5,5.1,EUROSTAT,ELFS,T,Youth: 15-24; Adult: 25+,
CZ,Czech Republic,1991,M,  24.018,  467.1,5.1,  45.208, 2 371.2,2.7,  69.226,34.7,  795.7,3.0,1.9,LABORSTA,PC,T,Youth: 15-24; Adult: 25+,Reference period: March
CZ,Czech Republic,1993 b,M,  35.258,  506.11,7.0,  61.698, 2 326.288,2.6,  96.956,36.4,  847.718,4.2,2.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
CZ,Czech Republic,1994,M,  40.772,  518.753,7.9,  61.659, 2 342.581,3.0,  102.432,39.8,  865.633,4.7,2.6,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
CZ,Czech Republic,1995,M,  36.823,  513.91,7.2,  61.256, 2 369.022,2.8,  98.079,37.5,  874.749,4.2,2.6,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
CZ,Czech Republic,1996,M,  32.329,  503.577,6.4,  63.061, 2 394.781,2.4,  95.389,33.9,  874.615,3.7,2.6,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Average of quarterly estimates
CZ,Czech Republic,1997 b,M,  36.445,  488.088,7.5,  76.291, 2 412.827,2.4,  112.735,32.3,  870.204,4.2,3.2,OECD,LFS,T,Youth: 15-24; Adult: 25+,"Reference period: Continuous survey
Survey limitation: Continuous survey introduced."
CZ,Czech Republic,1998,M,  51.243,  477.533,10.7,  94.946, 2 425.551,2.7,  146.189,35.1,  856.568,6.0,3.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
CZ,Czech Republic,1999,M,  71.271,  448.898,15.9,  139.896, 2 456.668,2.8,  211.167,33.8,  828.457,8.6,5.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
CZ,Czech Republic,2000,M,  68.258,  409.496,16.7,  143.363, 2 477.853,2.9,  211.621,32.3,  797.804,8.6,5.8,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
CZ,Czech Republic,2001,M,  59.576,  371.635,16.0,  134.992, 2 509.692,3.0,  194.568,30.6,  771.11,7.7,5.4,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
CZ,Czech Republic,2002,M,  50.313,  333.686,15.1,  120.508, 2 556.672,3.2,  170.82,29.5,  744.936,6.8,4.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
CZ,Czech Republic,2003,M,  50.8,  305.8,16.6,  123.9, 2 555.0,3.4,  174.7,29.1,  726.5,7.0,4.8,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
CZ,Czech Republic,2004,M,  59.7,  283.5,21.1,  141.5, 2 580.9,3.8,  201.2,29.7,  709.2,8.4,5.5,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
CZ,Czech Republic,2005,M,  52.1,  268.9,19.4,  134.6, 2 623.2,3.8,  186.7,27.9,  694.1,7.5,5.1,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
CZ,Czech Republic,2006,M,  43.1,  260.0,16.6,  125.8, 2 650.9,3.5,  168.9,25.5,  689.6,6.3,4.7,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
CZ,Czech Republic,2007,M,  26.704,  252.423,10.6,  96.881, 2 677.246,2.9,  123.585,21.6,  687.409,3.9,3.6,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
CZ,Czech Republic,2008,M,  24.4,  247.9,9.8,  78.3, 2 717.9,3.4,  102.7,23.8,  690.9,3.5,2.9,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
CZ,Czech Republic,2009,M,  42.434,  255.493,16.6,  132.945, 2 743.613,3.4,  175.379,24.2,  685.839,6.2,4.8,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
CZ,Czech Republic,2010,M,  44.014,  241.144,18.3,  146.765, 2 747.896,3.4,  190.779,23.1,  666.456,6.6,5.3,OECD,LFS,T,Youth: 15-24; Adult: 25+,Reference period: Continuous survey
DK,Denmark,1983,M,  48.1,  266.3,18.1,  84.765, 1 184.775,2.5,  132.865,36.2,  390.0,12.3,7.2,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,1984,M,  37.8,  304.1,12.4,  76.932, 1 169.66,1.9,  114.732,32.9,  396.1,9.5,6.6,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,1985,M,  31.9,  317.6,10.0,  63.343, 1 177.579,1.9,  95.243,33.5,  403.3,7.9,5.4,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,1986,M,  21.6,  308.5,7.0,  47.681, 1 211.959,1.8,  69.281,31.2,  392.6,5.5,3.9,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,1987,M,  24.7,  310.1,8.0,  53.939, 1 201.32,1.8,  78.639,31.4,  406.5,6.1,4.5,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,1988,M,  25.5,  313.3,8.1,  64.315, 1 239.605,1.6,  89.815,28.4,  398.8,6.4,5.2,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,1989,M,  32.7,  305.7,10.7,  83.69, 1 244.747,1.6,  116.39,28.1,  385.4,8.5,6.7,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,1990,M,  33.5,  292.7,11.4,  88.648, 1 266.211,1.6,  122.148,27.4,  382.5,8.8,7.0,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
DK,Denmark,1991,M,  30.5,  284.8,10.7,  97.899, 1 263.648,1.4,  128.399,23.8,  377.8,8.1,7.7,OECD,ELFS,T,Youth: 15-24; Adult: 25+,Reference period: February to June
